Claim,Document,Found,Extract
Replika consent clause,replika-legal-terms-en,True,"afilaton with a person or entity; 5. Create, instruct, or configure ary Al companion or chatbot persons to represent, impersonate, or simulate @ speci real ‘person — whether ving or deceased — by using their name, ikeness, biographical deal, or other dentin information, ‘without that person's explic"
Character.AI persistence,character-ai-privacy,False,
Character.AI 'death' in context,character-ai-tos,True,"nd indemnification described above includes reasonable attorneys! fees, rights, claims, actions of any kind and injury (Including death) arising out of or relating to your use of the Services. Ifyou re 8 California resident, you waive Califo Cll Cade Section 1542, which says: ‘A general elease doesn"
guardianaingels AI disclosure,guardianaingels-ai-terms,True,"ERVICE | 2: Nature ofthe Service structured promis ‘Al conversation are gonerate by artical inteligence systems and are simulated experiences, not communications with el inviduas, ving or deceased. 2.2Nota Substitute for Professional Care ‘The Service Is not a substtute for therapy, counseling, or m"
guardianaingels crisis line,guardianaingels-ai-terms,True,"In ctsi? Calor text 988, o text HOME to 741741, Call 11 if you'r inimmediate danger. SQ Guardian Aingels ey Paro or Terms & Conditions Last Update: February 23,2026 1. INTRODUCTION 1AAgreementto Terms By accessing or using Guardian Alnges (he ""Se"
StoryFile operator name,storyfile-legal-terms-of-service,True,"These Terms of Use (‘Terms’) apply to your access to and use of Conversa (the Platform’) which is provided by Authentic Interactions inc (‘Authentic Interactions,’ or ‘we']and the online products and services available through the Platform (collactively together with the Platform, the ‘Service’. By "
