Platform,Transparency,Consent,Dignity,Bias mitigation,Data protection,Evidence
Replika,1,2,1,0,2,"consent clause present, no enforcement mechanism found"
Character.AI,1,1,1,0,1,"impersonation ban is general, persistence clause present"
HereAfter AI,0,0,0,0,0,no governing document published
Project December,0,0,0,0,0,no governing document published
Seance AI,1,0,0,0,0,"FAQ states fiction/entertainment only, no product terms"
guardianaingels.ai (comparator),2,1,2,0,1,"AI disclosure in first section, crisis line before terms"
StoryFile (comparator),1,1,1,1,1,"retrieval architecture, Directive absent from terms"
